Page,Price,Location,Area,Price/m2,BedRoom,Toilet
14,Giá thỏa thuận,"Hà Đông, Hà Nội",154 m²,5,5,Null
14,Giá thỏa thuận,"Hà Đông, Hà Nội",240 m²,5,5,Null
14,"14,7 tỷ","Thủy Nguyên, Hải Phòng",173 m²,"84,97 tr/m²",9,Null
14,"14,5 tỷ","Thanh Thủy, Phú Thọ",512 m²,"28,32 tr/m²",4,Null
14,23 tỷ,"Thanh Xuân, Hà Nội",75 m²,"306,67 tr/m²",2,2
14,"1,38 tỷ","Nhà Bè, Hồ Chí Minh",40 m²,"34,38 tr/m²",2,2
14,"6,5 tỷ","Quận 12, Hồ Chí Minh",60 m²,"108,33 tr/m²",4,5
14,"7,39 tỷ","Gò Vấp, Hồ Chí Minh",60 m²,"123,17 tr/m²",4,5
14,"6,75 tỷ","Cầu Giấy, Hà Nội",36 m²,"187,5 tr/m²",3,4
14,"6,2 tỷ","Bình Tân, Hồ Chí Minh",72 m²,"86,11 tr/m²",5,6
14,"5,5 tỷ","Quận 11, Hồ Chí Minh","28,4 m²","193,66 tr/m²",4,Null
14,21 tỷ,"Long Biên, Hà Nội",75 m²,280 tr/m²,6,7
14,"2,85 tỷ","Hà Đông, Hà Nội",40 m²,"71,25 tr/m²",3,Null
14,"44,85 tỷ","Tây Hồ, Hà Nội",140 m²,"320,36 tr/m²",4,Null
14,12 tỷ,"Hai Bà Trưng, Hà Nội",44 m²,"272,73 tr/m²",6,5
15,14 tỷ,"Hà Đông, Hà Nội",90 m²,"155,56 tr/m²",4,4
15,Giá thỏa thuận,"Sơn Trà, Đà Nẵng",270 m²,8,10,Null
15,Giá thỏa thuận,"Đông Anh, Hà Nội",50 m²,3,3,Null
15,"11,5 tỷ","Thạch Thất, Hà Nội",220 m²,"52,27 tr/m²",4,Null
15,"11,98 tỷ","Quận 9, Hồ Chí Minh",91 m²,"131,65 tr/m²",4,Null
15,29 tỷ,"Đống Đa, Hà Nội","50,5 m²","574,26 tr/m²",13,Null
15,"44,85 tỷ","Tây Hồ, Hà Nội",140 m²,"320,36 tr/m²",4,Null
15,13 tỷ,"Nhơn Trạch, Đồng Nai",160 m²,"81,25 tr/m²",4,3
15,"8,5 tỷ","Hồng Bàng, Hải Phòng",75 m²,"113,33 tr/m²",5,5
15,"12,4 tỷ","Thạch Thất, Hà Nội",200 m²,62 tr/m²,4,4
15,"17,5 tỷ","Hà Đông, Hà Nội",50 m²,350 tr/m²,4,5
15,49 tỷ,"Gò Vấp, Hồ Chí Minh",231 m²,"212,12 tr/m²",22,Null
15,Giá thỏa thuận,"Phan Thiết, Bình Thuận",230 m²,3,3,Null
15,"16,6 tỷ","Thủ Đức, Hồ Chí Minh","288,8 m²","57,48 tr/m²",4,Null
15,17 tỷ,"Hoài Đức, Hà Nội",80 m²,"212,5 tr/m²",5,4
15,"4,1 tỷ","Phú Mỹ, Bà Rịa Vũng Tàu",85 m²,"48,24 tr/m²",5,6
